Rating,Rating,class,
4,"	Very practical and user-friendly phone.	",good,
5,"	Sharp and classy phone	",good,
5,"	00%  	",good,
4,"	Works wonderful for the price!	",good,
5,"	 Just what I needed for my job thanks a lot	",good,
4,"	it's fast  looking very ",good,
5,"	my autistic son is in his glory lol thank you again	",good,
4,"	All around  phone",good,
0,"0	There are a fee problems such as the storage being very small	",good,
3,"	The only thing I didn't like was the camera its horrible	",good,
2,"	Wifi button didn't work",bad,
4,"	Very  I could say	",bad,
5,"	This is a  value!!	",good,
1,"	 the battery was not apple certified.	",bad,
3,"	Worked as expected.	",good,
4,"	This product seems almost brand new...so glad I have found this!	",good,
5,"	This is one of the best purchases I've ever made	",good,
3,"	phone is working very  ",good,
1,"	Awful	",bad,
4,"	This product definitely met my expectations	",good,
5,"	It is working so fine. Thanks	",bad,
1,"	the charger was a little bit broken.	",bad,
2,"	DO NOT BUY from them!!! 	",bad,
1,"	wasnt unlocked	",bad,
3,"	I'm very satisfied with the product since it's a great phone	",good,
4,"	Fast and reliable.	",good,
3,"	 Shipped quickly and the product was exactly as described by seller.	",good,
4,"	Very happy with this phone purchase	",good,
5,"	My daughter is very pleased with her phone.	",good,
2,"	Callers could not hear me	",bad,
4,"	Still - an awesome smart phone.	",good,
5,"	I love it! Such an easy resale with so much value.	",good,
4,"	The phone is great and exaclty as the description said	",good,
5,"	As advertised. A  value. Would buy again.	",good,
3,"	ALL THAT EXPECTED. THANK YOU VERY MUCH/	",good,
4,"	It works perfectly.	",good,
5,"	 Im so glad I bought it!	",good,
4,"	It is really factory blocked and works great.	",good,
0,"0	one of the phones is not unlocked.	",bad,
1,"	The phones are freezing up 	",bad,
2,"	This is the worst buy ever. The phone doesn't work.	",bad,
5,"	As described	",good,
4,"	Great deal. 	",good,
0,"0	Multiple problems: They don't charge",bad,
4,"	The phone was everything the vendor said it was.	",good,
2,"	This device does not have the entrance code	",bad,
4,"	I had zero issues getting it connected.	",good,
1,"	Refurbished not new",bad,
3,"	Came exactly as advertised",good,
1,"	Cant get the phone to set up. Very disappointed	",bad,
2,"	 Can't use india sim card model	",bad,
1,"	 I am disappointed.	",bad,
5,"	Great phone! my expectation were met.	",good,
4,"	So far working fine.	",good,
3,"	Received it. Like it. 	",good,
4,"	Phone was in perfect shape and works as expected.	",good,
1,"	I orderer a new phone and receive one damage	",bad,
0,"0	This phone didn't turn on",bad,
3,"	I love this phone it is the best	",good,
1,"	Its not unlocked	",bad,
0,"0	refreshed and still very slow	",bad,
5,"	Trust worthy gud	",good,
1,"	 It is very slow and the sound does not work.	",bad,
5,"	Everything ok! Excellent	",good,
2,"	The Phone wasn't unblock	",bad,
4,"	Is original product and works perfectly well	",good,
1,"	Wifi and Bluetooth do not work	",bad,
3,"	only something to say. I love it.	",good,
4,"	Perfect condititons",good,
1,"	Not happy at all",bad,
1,"	The phone only works with a US SIM card.	",bad,
3,"	Phone works great! No issues so far	",good,
4,"	Great deal works like a new phone. Thanks	",good,
2,"	There was a problem with the electric connector	",bad,
0,"0	 It is not appropriate fot the phone.	",bad,
4,"	Terrific product	",good,
3,"	Just what I was waiting for!	",good,
2,"	I don't received head phone with Phone	",bad,
2,"	Battery die	",bad,
5,"	Great price. Phone is working perfectly	",good,
5,"	 product and seller	",good,
5,"	Just received it. Completely awesome!	",good,
5,"	Perfect!!!	",good,
5,"	Product looked and functioned like brand new	",good,
5,"	satisfied might purchase gift again	",good,
4,"	i got really  piece	",good,
1,"	Doesn't come on a box dosnt have a charger	",bad,
0,"0	Do NOT buy this product from this vendor. 	",bad,
1,"	Works as advertised no complaints!	",bad,
4,"	works great and looks like new. thanks!!	",good,
5,"	Works great.	",good,
4,"	Great. Arrived quickly.	",good,
2,"	every time I tap the back it shuts off	",bad,
4,"	Great phone. My sone has been happy with it.	",good,
